lat,lng,continent,n,name,docId,docText,location
52.132633,5.291265999999999,Europe,1,Hans Pakes,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",The Netherlands
37.5407246,-77.4360481,North America,1,Clark Webster,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",Richmond
37.4315734,-78.6568942,North America,1,Clark Webster,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",Virginia
52.3666969,4.8945398,Europe,1,Clark Webster,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",Amsterdam
40.7282239,-73.7948516,North America,1,Clark Webster,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",Queens
40.7127753,-74.0059728,North America,1,Clark Webster,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",New York City
38.0293059,-78.47667810000002,North America,1,Mukhtar Galab,se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes].",Charlottesville
39.9611755,-82.99879419999999,North America,1,Jamal Kalifa,se1,"Report Date 10 April, 2003. lntercept of a mobile phone message on 6 April, 2003 from 706-437-6673 to 713-556-9213. The first number was traced to a resident of Columbus, Georgia whose address is: 2237 St. Mary's Road. The resident at this address, Ralph Goode, claims that his mobile phone was recently stolen from his car, a matter he says he reported on 30 March, 2003 to the Columbus police. The Columbus police verified this account. The second number was traced to 2339 Little York Rd., Apt 7 in Houston, Texas. The caller from 706-437-6673, speaking in Arabic, said [when translated]: ""What you need will be found in the usual place"". The second number was listed by Sprint PCS as belonging to a Jamal Kalifa.",Columbus
29.8700083,-95.323633,North America,1,Ralph Goode,se1,"Report Date 10 April, 2003. lntercept of a mobile phone message on 6 April, 2003 from 706-437-6673 to 713-556-9213. The first number was traced to a resident of Columbus, Georgia whose address is: 2237 St. Mary's Road. The resident at this address, Ralph Goode, claims that his mobile phone was recently stolen from his car, a matter he says he reported on 30 March, 2003 to the Columbus police. The Columbus police verified this account. The second number was traced to 2339 Little York Rd., Apt 7 in Houston, Texas. The caller from 706-437-6673, speaking in Arabic, said [when translated]: ""What you need will be found in the usual place"". The second number was listed by Sprint PCS as belonging to a Jamal Kalifa.",Little York Rd.
32.43742340000001,-84.90787399999999,North America,1,Ralph Goode,se1,"Report Date 10 April, 2003. lntercept of a mobile phone message on 6 April, 2003 from 706-437-6673 to 713-556-9213. The first number was traced to a resident of Columbus, Georgia whose address is: 2237 St. Mary's Road. The resident at this address, Ralph Goode, claims that his mobile phone was recently stolen from his car, a matter he says he reported on 30 March, 2003 to the Columbus police. The Columbus police verified this account. The second number was traced to 2339 Little York Rd., Apt 7 in Houston, Texas. The caller from 706-437-6673, speaking in Arabic, said [when translated]: ""What you need will be found in the usual place"". The second number was listed by Sprint PCS as belonging to a Jamal Kalifa.",St. Mary's Road
